timestamp,event_type,order_id,side,price,quantity
1900000001,ADD,3001,BID,99.99,8
1900000002,ADD,3002,ASK,100.01,8
1900000003,REMOVE,3001,,,
1900000004,REMOVE,3002,,,
1900000005,ADD,3003,BID,100.24,8
1900000006,ADD,3004,ASK,100.26,8
1900000007,REMOVE,3003,,,
1900000008,REMOVE,3004,,,
1900000009,ADD,3005,BID,100.49,8
1900000010,ADD,3006,ASK,100.51,8
1900000011,REMOVE,3005,,,
1900000012,REMOVE,3006,,,
1900000013,ADD,3007,BID,100.19,8
1900000014,ADD,3008,ASK,100.21,8
1900000015,REMOVE,3007,,,
1900000016,REMOVE,3008,,,
1900000017,ADD,3009,BID,99.94,8
1900000018,ADD,3010,ASK,99.96,8
1900000019,REMOVE,3009,,,
1900000020,REMOVE,3010,,,
1900000021,ADD,3011,BID,99.69,8
1900000022,ADD,3012,ASK,99.71,8
1900000023,REMOVE,3011,,,
1900000024,REMOVE,3012,,,
1900000025,ADD,3013,BID,99.89,8
1900000026,ADD,3014,ASK,99.91,8
1900000027,REMOVE,3013,,,
1900000028,REMOVE,3014,,,
1900000029,ADD,3015,BID,100.14,8
1900000030,ADD,3016,ASK,100.16,8
1900000031,REMOVE,3015,,,
1900000032,REMOVE,3016,,,
1900000033,ADD,3017,BID,100.39,8
1900000034,ADD,3018,ASK,100.41,8
1900000035,REMOVE,3017,,,
1900000036,REMOVE,3018,,,
1900000037,ADD,3019,BID,100.09,8
1900000038,ADD,3020,ASK,100.11,8
1900000039,REMOVE,3019,,,
1900000040,REMOVE,3020,,,
1900000041,ADD,3021,BID,99.84,8
1900000042,ADD,3022,ASK,99.86,8
1900000043,REMOVE,3021,,,
1900000044,REMOVE,3022,,,
1900000045,ADD,3023,BID,100.04,8
1900000046,ADD,3024,ASK,100.06,8
1900000047,REMOVE,3023,,,
1900000048,REMOVE,3024,,,
